"Acer kawakamii"	"Acer palmatum var. pubescens"	"Callicarpa randaiensis"	"Camellia brevistyla"	"Carpinus rankanensis"	"Cleyera japonica"	"Daphniphyllum himalayense subsp. macropodum"	"Dendropanax dentiger"	"Euonymus spraguei"	"Eurya crenatifolia"	"Eurya glaberrima"	"Eurya loquaiana"	"Hydrangea angustipetala"	"Ilex hayatana"	"Ilex lonicerifolia var. matsudae"	"Ilex sugerokii var. brevipedunculata"	"Ilex tugitakayamensis"	"Itea parviflora"	"Ligustrum liukiuense"	"Lindera erythrocarpa"	"Litsea acuminata"	"Litsea elongata var. mushaensis"	"Michelia compressa"	"Microtropis fokienensis"	"Neolitsea aciculata"	"Neolitsea acuminatissima"	"Osmanthus heterophyllus"	"Photinia niitakayamensis"	"Pourthiaea beauverdiana var. notabilis"	"Pourthiaea villosa var. parvifolia"	"Prunus phaeosticta"	"Prunus transarisanensis"	"Quercus longinux"	"Quercus sessilifolia"	"Quercus stenophylloides"	"Rhamnus crenata"	"Rhododendron formosanum"	"Schima superba"	"Skimmia japonica subsp. distincte-venulosa"	"Sorbus randaiensis"	"Styrax formosanus"	"Sycopsis sinensis"	"Symplocos formosana"	"Symplocos macrostroma"	"Trochodendron aralioides"	"Viburnum foetidum var. rectangulatum"	"Viburnum luzonicum"	"Viburnum sympodiale"
"LP00"	0	0	0	0	0	0.0406059209574856	0.0286384429715594	0.054417768536322	0	0	0	0	0	0	0	0	0	0	0.0166500406176436	0	0	0.0364691145824273	0	0	0.0265088213017797	0.0821380183077295	0.03962251767878	0	0	0	0	0	0.0241395357865936	0	0	0	0.615622385241816	0	0	0	0	0	0	0	0.0351874340178627	0	0	0
"LP02"	0	0.0265297361334539	0	0	0	0	0.0612883362386706	0	0	0	0	0	0	0.0267541424077012	0	0	0	0	0.0264527153359368	0	0.0287890128606215	0.0285988380519373	0	0.0264764871870223	0.0384575001341233	0.0539827709630692	0	0	0	0	0	0	0.212947040920014	0	0	0	0.4340881137942	0	0	0	0	0	0	0.0356353059732506	0	0	0	0
"LP04"	0	0	0.0237268349025183	0	0.0241316162792706	0.218122715594897	0	0.0414752591464445	0	0.182279099387721	0	0	0	0	0	0	0	0	0	0	0.0459608976684142	0.0532758754054385	0	0	0	0.0532758754054385	0	0	0	0	0.193360834435405	0	0	0.0242183551457175	0	0	0	0	0	0	0	0	0	0.104025622135458	0.0361470144932761	0	0	0
"LP06"	0	0.0746864350052558	0	0.241873589021153	0	0.0536391482841734	0.0573041936772877	0.049157103188844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0453355298153988	0	0	0	0	0	0	0	0	0	0	0.0947026095632233	0	0	0	0	0.129872092460951	0	0	0.253429298983713	0	0	0
"LP08"	0	0	0	0.0227957727027571	0	0.0430489544375152	0.0196374138875774	0.0310106665461875	0	0.0703292011285988	0.0551171469864396	0	0	0.0251482283021188	0	0	0	0	0.0137921042105328	0	0	0.0194087847538211	0.0349726944162692	0	0	0.212317574555191	0	0	0	0	0.0149717411742783	0.0445818205167796	0	0.168697535488819	0	0	0.0975151000316589	0	0	0	0	0.0878281258352245	0.0133638900349307	0.0254632449913008	0	0	0	0
"LP20"	0	0	0	0	0	0	0.014893221584131	0.053305817689976	0	0.0516928174816214	0.0257598856477098	0	0	0.055230650621749	0.0128890321184837	0	0	0	0.0259070623030451	0	0	0	0	0	0	0.0267698461162699	0.0130054450073831	0	0	0	0.033628767678454	0	0	0.431726238477347	0	0	0.188276213660166	0	0	0	0	0	0	0	0.0533844750473405	0	0	0.013530526566323
"LP22"	0	0.0191627545756975	0	0.033605962606206	0	0.0170929976469497	0	0.0768088929072342	0	0.0337241946888294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0934588679857658	0.0362321058061226	0	0	0	0	0	0.0179526144359055	0.227808533574434	0	0	0.0870546301770004	0	0	0	0	0	0	0	0.338953877896396	0	0.0181445676994587	0
"LP24"	0	0	0	0	0	0	0	0	0	0.109267996561344	0	0	0.119070727575676	0	0	0	0	0	0.0371276201934818	0	0	0.074362665016909	0	0	0	0.0365531319550776	0	0	0	0	0	0	0	0	0	0	0.431323500799213	0	0	0	0	0	0	0.0388566896719959	0.153437668226303	0	0	0
"LP26"	0	0.0508920092253426	0	0.0336040093693155	0	0.064591760595162	0	0	0	0.0214985159713051	0	0	0	0	0	0	0.0211102043585037	0	0.0436552928049527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.411047223122053	0	0	0.202994913879268	0	0	0.0347904017121704	0	0	0	0.0687432685732006	0.0470724003887269	0	0	0
"LP28"	0.0534843620877811	0.0134050654147937	0	0.0191529319022917	0	0.075845599256187	0.161696120804542	0	0	0.0688806596840733	0.109116371248368	0	0	0	0.0113146489307226	0	0.0248447216435702	0	0.0112606491010298	0	0	0	0	0	0	0	0	0	0	0	0	0.0740672510186699	0	0	0	0	0.173741175123986	0	0	0	0	0	0	0	0.203190443783985	0	0	0
"LP40"	0	0.039187378877054	0	0.0354636414671217	0	0	0	0	0	0.018333329600731	0.0393683167755094	0	0	0.0356406601331195	0	0	0	0	0	0.0285971462015546	0	0	0.0321649541487129	0	0	0.105886276564931	0.0926484157342626	0	0	0	0	0.247187764081616	0.105123892536886	0.0180929500100034	0	0	0.1358034575842	0.0474924190846465	0	0	0	0	0	0	0.0190093971996524	0	0	0
