"elevation"	"convexity"	"windwardness"
"LP00"	1769.3875	0.133074999999963	-706.224268708055
"LP02"	1772.21	1.26082900000006	-883.570203627624
"LP04"	1765.31	-1.06903799999986	-1018.08805798551
"LP06"	1771.735	1.6756899999998	-1744.52746547023
"LP08"	1774.1525	-0.753405999999814	-218.579942355387
"LP20"	1769.8575	1.66546399999993	1119.34771434038
"LP22"	1775.5025	1.00125000000003	-399.472310591413
"LP24"	1771.2025	-1.46625000000017	-278.591291717279
"LP26"	1775.5975	1.14593749999995	-659.126530930164
"LP28"	1779.195	0.374062500000036	-1241.0986803383
"LP40"	1771.4125	0.699346999999989	-140.291368557714
"LP42"	1775.725	0.6021874999999	502.418073787927
"LP44"	1775.2175	-0.0115625000000819	-51.7019921643551
"LP46"	1777.1875	0.629999999999882	-84.9698445475818
"LP48"	1780.825	0.597500000000082	94.3659630134084
"LP60"	1772.0525	-0.319165999999996	277.928616290751
"LP62"	1773.5775	-0.250312499999836	440.474670543586
"LP64"	1776.015	0.900624999999991	-508.204407971382
"LP66"	1775.5975	-0.441562499999918	272.489029645191
"LP68"	1779.59	1.03062499999987	315.141463677473
"LP80"	1767.16	0.455735000000004	1454.40801544915
"LP82"	1769.61	1.24125000000004	1964.16531370782
"LP84"	1771.47	1.44343749999985	2687.54733740725
"LP86"	1771.695	0.4831250000002	1751.61331789191
"LP88"	1773.4275	0.164375000000064	1612.604017173
